StockCode,Warehouse,OnHand
700-BROTMEN-2,WH/Stock/Welding,7
700-BROTMEN-3,WH/Stock/Welding,47
700-BROTMEN-4,WH/Stock/Welding,6
700-BROTMEN-5,WH/Stock/Welding,3
700-BROTMEN-6,WH/Stock/Welding,14
700-BROTMEN-7,WH/Stock/Raw Materials,16
700-BROTMEN-8,WH/Stock/Raw Materials,9
700-BROTMEN-SWC,WH/Stock/Raw Materials,4
700-CDCB,WH/Stock/Welding,75
700-CDLST,WH/Stock/Welding,37
700-CDLT,WH/Stock/Welding,36
700-CDMST,WH/Stock/Welding,34
700-CDMT,WH/Stock/Welding,16
700-CDS5,WH/Stock/Welding,12
700-CDS6,WH/Stock/Welding,19
700-CDS6GC,WH/Stock/Welding,15
700-CDS8,WH/Stock/Welding,7
700-CDSST,WH/Stock/Welding,14
700-CDST,WH/Stock/Welding,21
700-CISBK,WH/Stock/Welding,12
700-CITZBANK-6,WH/Stock/General Assembly,3
700-CKOFDS-V2,WH/Stock/Tech Stock,57
700-CROCANOPY-1,WH/Stock/Raw Materials,7
700-CROCANOPY-10,WH/Stock/Powder Coat,6
700-CROCANOPY-10,WH/Stock/Welding,4
700-CROCANOPY-11,WH/Stock/Powder Coat,6
700-CROCANOPY-11,WH/Stock/Welding,4
700-CROCANOPY-13L,WH/Stock/Welding,35
700-CROCANOPY-13R,WH/Stock/Welding,36
700-CROCANOPY-14,WH/Stock/Raw Materials,8
700-CROCANOPY-15,WH/Stock/Raw Materials,1
700-CROCANOPY-16,WH/Stock/Raw Materials,4
700-CROCANOPY-16,WH/Stock/Welding,4
700-CROCANOPY-17,WH/Stock/Raw Materials,3
700-CROCANOPY-17,WH/Stock/Welding,8
700-CROCANOPY-18,WH/Stock/Welding,10
700-CROCANOPY-19,WH/Stock/Welding,7
700-CROCANOPY-2,WH/Stock/Raw Materials,2
700-CROCANOPY-20,WH/Stock/Raw Materials,9
700-CROCANOPY-21,WH/Stock/Raw Materials,12
700-CROCANOPY-3,WH/Stock/Raw Materials,2
700-CROCANOPY-4,WH/Stock/Raw Materials,2
700-CROCANOPY-5,WH/Stock/Raw Materials,17
700-CROCANOPY-6,WH/Stock/Raw Materials,3
700-CROCANOPY-7,WH/Stock/Raw Materials,11
700-CROCANOPY-8,WH/Stock/Raw Materials,4
700-CROCANOPY-9,WH/Stock/Raw Materials,2
700-CROCANOPY-9,WH/Stock/Welding,6
700-CUP5SC,WH/Stock/Welding,10
700-CUP6SC,WH/Stock/Welding,11
700-CUP8SC,WH/Stock/Raw Materials,24
700-CUPC5,WH/Stock/Welding,4
700-CUPC6,WH/Stock/Welding,8
700-CUPC8,WH/Stock/Welding,2
700-DBSG,WH/Stock/General Assembly,89
700-DBWING-1,WH/Stock/Raw Materials,18
700-DBWING-2,WH/Stock/Raw Materials,163
700-DBWING-3,WH/Stock/Raw Materials,8
700-DBWING-4,WH/Stock/Raw Materials,26
700-DBWING-5,WH/Stock/Raw Materials,25
700-DD-14,WH/Stock/Raw Materials,56
700-DD-15,WH/Stock/Raw Materials,4
700-DD-18,WH/Stock/Raw Materials,3
700-DD-18,WH/Stock/General Assembly,1
700-DD-1B,WH/Stock/Raw Materials,7
700-DD-1L,WH/Stock/Raw Materials,9
700-DD-1R,WH/Stock/Raw Materials,9
700-DD-2,WH/Stock/Raw Materials,6
700-DD-2W,WH/Stock/Raw Materials,8
700-DD-3L,WH/Stock/Raw Materials,6
700-DD-4,WH/Stock/Raw Materials,5
700-DD-53,WH/Stock/Raw Materials,3
700-DD-53V2,WH/Stock/Raw Materials,6
700-DD-54,WH/Stock/Raw Materials,1
700-DD-9,WH/Stock/Raw Materials,90
700-DDBAR-1,WH/Stock/Raw Materials,8
700-DDBAR-2,WH/Stock/Raw Materials,30
700-DDBAR-3,WH/Stock/Raw Materials,11
700-DDBAR-5,WH/Stock/Raw Materials,2
700-DDBAR-6,WH/Stock/Raw Materials,4
700-DDBAR-7,WH/Stock/Raw Materials,3
700-DDBAR-8,WH/Stock/Raw Materials,28
700-DDBB,WH/Stock/Welding,9
700-DDBBR,WH/Stock/Welding,38
700-DDBS,WH/Stock/Welding,27
700-DDCANOPY-1,WH/Stock/Welding,2
700-DDCANOPY-13,WH/Stock/Welding,172
700-DDCANOPY-14,WH/Stock/Raw Materials,44
700-DDCANOPY-15,WH/Stock/Raw Materials,8
700-DDCANOPY-17,WH/Stock/Raw Materials,11
700-DDCANOPY-18,WH/Stock/Raw Materials,4
700-DDCANOPY-2S,WH/Stock/Welding,1
700-DDCANOPY-6,WH/Stock/Raw Materials,67
700-DDCANOPY-9,WH/Stock/Welding,20
700-DDCB,WH/Stock/Welding,22
700-DDCS,WH/Stock/Welding,19
700-DDDC,WH/Stock/Welding,1
700-DDG,WH/Stock/Welding,225
700-DDGS,WH/Stock/Welding,38
700-DDPV-1,WH/Stock/Raw Materials,9
700-DDPV-3,WH/Stock/General Assembly,8
700-DDS,WH/Stock/Welding,39
700-DDS1,WH/Stock/Welding,24
700-DDS2,WH/Stock/Welding,43
700-DDST,WH/Stock/Welding,16
700-DDTA-1,WH/Stock/Raw Materials,4
700-DDTA-2,WH/Stock/Raw Materials,5
700-DDTA-3,WH/Stock/Raw Materials,10
700-DDTA-8,WH/Stock/Tech Stock,7
700-DDWB,WH/Stock/Welding,35
700-DWU-2,WH/Stock/Raw Materials,3
700-DWU-3,WH/Stock/Raw Materials,8
700-DWU-6,WH/Stock/Raw Materials,36
700-FCD,WH/Stock/Welding,1
700-FCP,WH/Stock/Welding,1
700-FFR,WH/Stock/Welding,4
700-FPPVCMNT-3,WH/Stock/Raw Materials,55
700-HBAC,WH/Stock/Raw Materials,97
700-HBAC,WH/Stock/General Assembly,63
700-HBC,WH/Stock/Raw Materials,8
700-HBC,WH/Stock/General Assembly,28
700-HRF-SWC,WH/Stock/Raw Materials,69
700-IPB-10,WH/Stock/Raw Materials,17
700-IPB2-1,WH/Stock/Raw Materials,2
700-ISP-2,WH/Stock/Raw Materials,5
700-ISP-3,WH/Stock/Welding,5
700-ISP-4,WH/Stock/Welding,3
700-ISP-5,WH/Stock/Welding,15
700-ISP-8,WH/Stock/Raw Materials,12
700-ISP-8,WH/Stock/General Assembly,6
700-ISP-9,WH/Stock/Raw Materials,63
700-JAGBAR-1,WH/Stock/Raw Materials,6
700-JAGCANOPY-1,WH/Stock/Welding,13
700-JAGCANOPY-11,WH/Stock/Raw Materials,3
700-JAGCANOPY-12,WH/Stock/Raw Materials,3
700-JAGCANOPY-13,WH/Stock/Raw Materials,3
700-JAGCANOPY-14,WH/Stock/Raw Materials,13
700-JAGCANOPY-15,WH/Stock/General Assembly,14
700-JAGCANOPY-16,WH/Stock/Raw Materials,5
700-JAGCANOPY-2,WH/Stock/Welding,8
700-JAGCANOPY-23,WH/Stock/Welding,104
700-JAGCANOPY-26,WH/Stock/Welding,15
700-JAGCANOPY-27,WH/Stock/Welding,15
700-JAGCANOPY-3,WH/Stock/Welding,16
700-JAGCANOPY-4,WH/Stock/Welding,8
700-JAGCANOPY-5,WH/Stock/Raw Materials,1
700-JAGCANOPY-7,WH/Stock/Raw Materials,3
700-LBC10,WH/Stock/Welding,2
700-LBC6,WH/Stock/Welding,9
700-LBCD10,WH/Stock/Welding,3
700-LBCD6,WH/Stock/Welding,8
700-LBE,WH/Stock/Welding,11
700-LBH6,WH/Stock/Welding,11
700-LBL,WH/Stock/Welding,37
700-LBLA,WH/Stock/Welding,82
700-LBLD10,WH/Stock/Welding,4
700-LBLD6,WH/Stock/Welding,5
700-LEDSB-1,WH/Stock/Tech Stock,1
700-LEDSB-1V2,WH/Stock/Tech Stock,77
700-LEDSB-2,WH/Stock/Tech Stock,13
700-LEDSB-2V2,WH/Stock/Tech Stock,24
700-MAYODT-11,WH/Stock/Welding,235
700-MAYODT-15,WH/Stock/Raw Materials,6
700-MAYODT-16,WH/Stock/Raw Materials,4
700-MAYODT-5,WH/Stock/Raw Materials,1
700-MAYODT-6,WH/Stock/Raw Materials,144
700-MAYODT-8,WH/Stock/Welding,6
700-MOBK,WH/Stock/Welding,61
700-MOF2,WH/Stock/Welding,75
700-MOFG,WH/Stock/Welding,189
700-MOFH,WH/Stock/Welding,79
700-MOL,WH/Stock/Raw Materials,2
700-MOLA,WH/Stock/Welding,153
700-MONPSH-1,WH/Stock/Tech Stock,165
700-MONPSH-2,WH/Stock/Raw Materials,115
700-MONPSH-2,WH/Stock/Tech Stock,37
700-MOSG,WH/Stock/Raw Materials,1
700-MOSG,WH/Stock/Tech Stock,44
700-MS,WH/Stock/Raw Materials,22
700-MSC,WH/Stock/Raw Materials,6
700-MSWC,WH/Stock/Raw Materials,34
700-NEL,WH/Stock/Sheet Metal,48
700-NGDT-11,WH/Stock/Raw Materials,1
700-NGDT-12,WH/Stock/Raw Materials,1
700-NGDT-13,WH/Stock/Raw Materials,1
700-NGDT-14,WH/Stock/Raw Materials,24
700-NGDT-15,WH/Stock/Raw Materials,43
700-NGDT-2,WH/Stock/Raw Materials,2
700-NGDT-6C,WH/Stock/Raw Materials,28
700-NGPB-1,WH/Stock/Raw Materials,10
700-NGPB-2,WH/Stock/Raw Materials,7
700-NGPB-3,WH/Stock/Raw Materials,6
700-NGPB-5,WH/Stock/Raw Materials,7
700-NGPB-6,WH/Stock/Raw Materials,22
700-NGPB-8,WH/Stock/Raw Materials,14
700-NGSC-2UL,WH/Stock/Raw Materials,44
700-NGSC-2UL-ALUM,WH/Stock/Raw Materials,44
700-NGSC-5,WH/Stock/Raw Materials,63
700-NGSC-6,WH/Stock/Raw Materials,85
700-OCU-CS-6,WH/Stock/Raw Materials,9
700-OM3BP,WH/Stock/Welding,3
700-OM3HS,WH/Stock/Tech Stock,55
700-OM3MM,WH/Stock/Tech Stock,50
700-OM3PB,WH/Stock/Welding,71
700-OM3SS,WH/Stock/Final Finished Goods,39
700-OM3T-PB,WH/Stock/Raw Materials,15
700-OM962-10,WH/Stock/Welding,1
700-OM962-11,WH/Stock/Welding,40
700-OM962-12,WH/Stock/Welding,10
700-OM962-13,WH/Stock/Welding,14
700-OM962-14,WH/Stock/Welding,14
700-OM962-2,WH/Stock/Welding,13
700-OM962-3,WH/Stock/Welding,12
700-OM962-4,WH/Stock/Welding,23
700-OM962-5,WH/Stock/Welding,34
700-OM962-6,WH/Stock/Welding,93
700-OM962-7,WH/Stock/Welding,20
700-OM962-8,WH/Stock/Welding,52
700-OM962-9,WH/Stock/Welding,15
700-PBABS,WH/Stock/Tech Stock,26
700-PBB,WH/Stock/Welding,17
700-PBBK,WH/Stock/Raw Materials,18
700-PBH,WH/Stock/Raw Materials,13
700-PBT,WH/Stock/Welding,18
700-PDB,WH/Stock/Raw Materials,2
700-PDBB,WH/Stock/Welding,24
700-PDHC,WH/Stock/Raw Materials,13
700-PDPL,WH/Stock/Raw Materials,27
700-PDS,WH/Stock/Raw Materials,35
700-PDS,WH/Stock/General Assembly,1
700-PDSB,WH/Stock/Raw Materials,7
700-PDSC,WH/Stock/Raw Materials,10
700-PDTB,WH/Stock/Welding,24
700-PDTT,WH/Stock/Welding,75
700-PHSG,WH/Stock/Tech Stock,31
700-PNLDTWNG-1,WH/Stock/Raw Materials,28
700-PNLDTWNG-2,WH/Stock/Raw Materials,5
700-PNLDTWNG-5,WH/Stock/Raw Materials,8
700-POLLOTROP-3,WH/Stock/Welding,22
700-POLLOTROP-4,WH/Stock/Welding,5
700-POLLOTROP-5,WH/Stock/Welding,23
700-POLLOTROP-7,WH/Stock/Raw Materials,14
700-POLLOTROP-8,WH/Stock/Raw Materials,5
700-PSS,WH/Stock/Tech Finished Goods,88
700-QVCS,WH/Stock/Raw Materials,52
700-QVF1P-1,WH/Stock/Raw Materials,2
700-QVLB,WH/Stock/Raw Materials,8
700-QVLBT,WH/Stock/Raw Materials,11
700-QVLED,WH/Stock/Raw Materials,29
700-QVSBT,WH/Stock/Raw Materials,14
700-QVSL,WH/Stock/Raw Materials,12
700-QVSR,WH/Stock/Raw Materials,14
700-RSKNFRME-2,WH/Stock/General Assembly,96
700-S2K-21,WH/Stock/General Assembly,62
700-S2K-22,WH/Stock/Raw Materials,212
700-S2K-2A,WH/Stock/Welding,33
700-S2K-33,WH/Stock/Raw Materials,176
700-S2K-33R1,WH/Stock/Raw Materials,31
700-S2K-33R1,WH/Stock/General Assembly,21
700-S2KH2200,WH/Stock/General Assembly,359
700-SBTCR-9,WH/Stock/Welding,157
700-SLHC,WH/Stock/Welding,1
700-SLLA,WH/Stock/Welding,178
700-SLSA,WH/Stock/Welding,184
700-SMP140BC,WH/Stock/Raw Materials,10
700-SMP140CC,WH/Stock/Raw Materials,10
700-SMPBRKT3,WH/Stock/Welding,74
700-SMPCHAN2,WH/Stock/Welding,17
700-SMPGUS3,WH/Stock/Welding,29
700-SMPSHELF1,WH/Stock/Welding,25
700-SMPTAB,WH/Stock/Welding,17
700-SMS-13,WH/Stock/Welding,490
700-SMS-14,WH/Stock/Welding,19
700-SMS-14A,WH/Stock/Welding,10
700-SMS-14SWC,WH/Stock/Welding,2
700-SPB-13,WH/Stock/Raw Materials,22
700-SPCB,WH/Stock/Welding,17
700-SPK550-1,WH/Stock/Raw Materials,24
700-SPK550-2,WH/Stock/Raw Materials,33
700-SPK550-3,WH/Stock/Raw Materials,27
700-SPK550-3,WH/Stock/Tech Stock,1
